Address A,Port A,Address B,Port B,Packets,Bytes,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A,avg.pkt length,ipkt/opkt,ibytes/obytes
192.168.1.106,59394,172.217.160.142,443,20,6152,11,934,9,5218,224.94023,24.58919,303.87333,1697.65636,307.6,5.586723768736617,24.993358888888892
192.168.1.106,59395,172.217.160.142,443,17,6168,8,905,9,5263,225.41129,24.17576,299.47351,1741.5791,362.8235294117647,5.815469613259668,25.04569888888889
192.168.1.106,59672,74.125.200.189,443,28,5742,13,1193,15,4549,251.57424,285.34143,33.44765,127.53844,205.07142857142858,3.813076278290025,16.771616
192.168.1.106,59684,74.125.200.188,5228,99,7652,52,3903,47,3749,252.08407,1916.58784,16.29145,15.64864,77.29292929292929,0.9605431719190366,5.36349085106383
192.168.1.106,59697,216.58.197.46,443,27,6615,13,1016,14,5599,252.64798,285.23626,28.49568,157.03473,245.0,5.5108267716535435,18.046284285714286
192.168.1.106,61124,96.6.68.215,80,10,888,6,458,4,430,379.81136,63.21334,57.96245,54.41889,88.8,0.9388646288209607,94.95284
192.168.1.106,61148,96.6.68.215,443,19,6705,9,964,10,5741,382.21362,60.75044,126.94558,756.01097,352.89473684210526,5.9553941908713695,38.221362
192.168.1.106,63058,104.25.14.8,80,13,2000,7,1206,6,794,551.04691,46.73704,206.43155,135.90933,153.84615384615384,0.6583747927031509,91.84115166666668
192.168.1.106,64121,216.58.196.110,443,21,6202,11,900,10,5302,644.9305,123.93147,58.09662,342.25366,295.3333333333333,5.891111111111111,64.49305000000001
192.168.1.106,64601,142.104.82.67,80,21,22330,5,1102,16,21228,687.46977,0.834,10570.69271,203624.92266,1063.3333333333333,19.263157894736842,42.966860625
192.168.1.106,64924,23.211.224.100,80,14,2715,7,620,7,2095,714.68407,18.1435,273.37622,923.74705,193.92857142857142,3.379032258064516,102.09772428571429
192.168.1.106,64925,23.211.224.100,80,14,2655,7,619,7,2036,714.68407,32.39964,152.8412,502.72164,189.64285714285714,3.2891760904684975,102.09772428571429
192.168.1.106,65041,204.79.197.200,443,277,193664,100,64126,177,129538,725.14778,128.82188,3982.30484,8044.47189,699.1480144404333,2.020054268159561,4.09688011299435
192.168.1.106,65088,204.79.197.254,443,35,11073,16,3356,19,7717,729.29413,127.23745,211.00706,485.20307,316.37142857142857,2.2994636471990466,38.383901578947366
192.168.1.106,65089,13.107.6.254,443,33,11704,17,3482,16,8222,729.49775,125.46277,222.02603,524.2671,354.6666666666667,2.3612866168868467,45.593609375
192.168.1.106,65090,13.107.42.254,443,37,11781,17,3446,20,8335,730.22799,123.55113,223.1303,539.69561,318.4054054054054,2.41874637260592,36.511399499999996
192.168.1.106,65114,204.79.197.222,443,27,11103,13,3902,14,7201,731.22158,122.74808,254.30948,469.31896,411.22222222222223,1.845463864684777,52.230112857142856
192.168.1.106,65138,142.104.82.67,80,149,141891,55,4209,94,137682,733.09832,6.78034,4966.12338,162448.51474,952.2885906040268,32.711332858161086,7.79891829787234
192.168.1.106,65208,142.104.82.67,80,11114,11057721,3965,240351,7149,10817370,739.88017,508.658,3780.1588,170131.91708,994.9362065862875,45.00655291635982,0.1034942187718562
192.168.1.106,65531,172.217.26.197,443,39,7562,19,4157,20,3405,768.87366,240.64137,138.19735,113.19749,193.89743589743588,0.8191003127255232,38.443683
192.168.1.106,51163,172.217.160.142,443,33,7174,16,1344,17,5830,946.02202,330.86837,32.49631,140.9624,217.3939393939394,4.337797619047619,55.64835411764706
192.168.1.106,51255,172.217.26.174,443,31,6881,15,1148,16,5733,952.99772,285.56492,32.16081,160.60796,221.96774193548387,4.9939024390243905,59.5623575
192.168.1.106,51256,172.217.26.174,443,45,9121,21,2232,24,6889,952.99785,240.27351,74.31531,229.37194,202.6888888888889,3.0864695340501793,39.70824375
192.168.1.106,52798,23.219.132.43,80,10,2463,5,497,5,1966,1089.58852,60.34223,65.89083,260.64664,246.3,3.9557344064386317,217.91770400000001
192.168.1.106,52799,23.219.133.186,80,14,5634,7,603,7,5031,1089.59502,60.33552,79.9529,667.06973,402.42857142857144,8.343283582089553,155.65643142857144
192.168.1.106,53744,172.217.160.131,443,24,2254,12,1234,12,1020,1174.60775,285.2253,34.61124,28.60896,93.91666666666667,0.826580226904376,97.88397916666666
192.168.1.106,53883,104.244.46.39,443,18,8301,9,965,9,7336,1185.65946,60.39252,127.8304,971.77594,461.1666666666667,7.602072538860104,131.73994000000002
192.168.1.106,54596,142.104.82.67,80,21,22330,5,1102,16,21228,1248.55145,0.84653,10414.32868,200612.85773,1063.3333333333333,19.263157894736842,78.034465625
192.168.1.106,55540,172.217.160.138,443,28,3156,15,2078,13,1078,1332.12002,286.10498,58.10455,30.14278,112.71428571428571,0.5187680461982676,102.47077076923077
192.168.1.106,56002,172.217.160.142,443,21,6421,11,1079,10,5342,1372.91236,175.01727,49.32085,244.18161,305.76190476190476,4.950880444856349,137.291236
192.168.1.106,56003,216.58.197.46,443,22,6480,11,1074,11,5406,1372.92752,175.00173,49.09666,247.12898,294.54545454545456,5.033519553072626,124.81159272727272
192.168.1.106,57982,172.217.26.206,443,20,6353,10,1015,10,5338,1548.1889,127.99772,63.43863,333.63095,317.65,5.2591133004926105,154.81889
192.168.1.106,57983,172.217.26.206,443,7,408,4,228,3,180,1548.18904,11.56092,157.7729,124.55755,58.285714285714285,0.7894736842105263,516.0630133333333
192.168.1.106,59432,172.217.26.174,443,16,6116,8,909,8,5207,1676.18752,42.08032,172.81239,989.9165,382.25,5.728272827282728,209.52344
192.168.1.106,59895,157.240.16.35,443,31,8272,15,1921,16,6351,1718.36059,65.36097,235.12504,777.34469,266.83870967741933,3.30609057782405,107.397536875
192.168.1.106,59918,157.240.186.17,443,1491,1164573,652,55381,839,1109192,1718.91697,257.65066,1719.56867,34440.18373,781.0684104627767,20.028385186255214,2.04876873659118
192.168.1.106,60518,204.79.197.200,443,296,197393,129,71442,167,125951,1773.45683,135.48338,4218.49532,7437.13367,666.8682432432432,1.7629825592788555,10.619501976047905
192.168.1.106,60542,23.57.227.239,443,15,8956,9,3454,6,5502,1775.22953,0.25851,106888.65507,170266.75744,597.0666666666667,1.5929357266936885,295.87158833333336
192.168.1.106,60543,23.57.227.239,443,20,12396,11,3586,9,8810,1775.22962,0.43043,66649.62944,163743.23351,619.8,2.456776352481874,197.24773555555555
192.168.1.106,60590,13.107.42.254,443,33,11574,17,3458,16,8116,1778.56427,127.60823,216.78852,508.8073,350.72727272727275,2.3470213996529785,111.160266875
192.168.1.106,60591,13.107.6.254,443,35,12540,16,3368,19,9172,1778.96983,122.52312,219.90951,598.87471,358.2857142857143,2.723277909738717,93.62999105263158
192.168.1.106,60603,204.79.197.254,443,36,11190,17,3434,19,7756,1779.65987,129.28034,212.49944,479.94922,310.8333333333333,2.2585905649388467,93.66630894736842
192.168.1.106,60616,204.79.197.222,443,23,12317,12,3826,11,8491,1781.15791,129.42516,236.49189,524.84387,535.5217391304348,2.219289074751699,161.92344636363634
192.168.1.106,60708,172.217.26.202,443,15,4975,8,739,7,4236,1788.22028,11.97087,493.8654,2830.87123,331.6666666666667,5.7320703653585925,255.46004
192.168.1.106,60840,157.240.7.35,443,2433,1784263,1096,186995,1337,1597268,1800.22217,357.1402,4188.71918,35779.0695,733.3592272914098,8.541768496483863,1.3464638519072551
192.168.1.106,60848,157.240.13.35,443,31,7000,16,1826,15,5174,1800.23195,68.34918,213.72604,605.59614,225.80645161290323,2.833515881708653,120.01546333333334
192.168.1.106,60849,157.240.13.35,443,15,4991,8,770,7,4221,1800.2321,3.1901,1930.97153,10585.23484,332.73333333333335,5.4818181818181815,257.1760142857143
192.168.1.106,60850,157.240.16.16,443,23,5745,8,782,15,4963,1800.23222,14.71051,425.27429,2699.02341,249.7826086956522,6.346547314578005,120.01548133333334
192.168.1.106,60851,157.240.186.17,443,15,4704,8,788,7,3916,1800.24123,13.74665,458.58436,2278.95474,313.6,4.969543147208122,257.1773185714286
192.168.1.106,60852,157.240.16.20,443,21,5592,10,1025,11,4567,1800.24176,14.37929,570.26468,2540.87685,266.2857142857143,4.455609756097561,163.65834181818184
192.168.1.106,60853,157.240.16.20,443,17,5120,10,899,7,4221,1800.24193,13.74645,523.18947,2456.48805,301.1764705882353,4.695216907675195,257.1774185714286
192.168.1.106,60854,157.240.16.16,443,21,5483,8,782,13,4701,1800.30832,13.94175,448.72419,2697.50947,261.0952380952381,6.0115089514066495,138.48525538461539
192.168.1.106,60855,157.240.16.16,443,15,5000,8,782,7,4218,1800.30846,13.67886,457.34789,2466.87134,333.3333333333333,5.3938618925831205,257.18692285714286
192.168.1.106,60856,157.240.186.18,443,16,4756,9,839,7,3917,1800.33409,13.65486,491.54664,2294.86075,297.25,4.66865315852205,257.1905842857143
192.168.1.106,60858,54.225.227.202,80,18,10434,7,1054,11,9380,1800.83904,65.98571,127.78525,1137.21599,579.6666666666666,8.899430740037952,163.71264
192.168.1.106,60859,54.225.227.202,80,7,410,5,294,2,116,1800.99316,13.90391,169.16109,66.74383,58.57142857142857,0.3945578231292517,900.49658
192.168.1.106,60883,172.217.160.142,443,18,6025,10,860,8,5165,1803.69358,14.03613,490.16346,2943.83054,334.72222222222223,6.005813953488372,225.4616975
192.168.1.106,60884,157.240.13.35,443,35,7348,17,1731,18,5617,1803.97652,65.70023,210.77551,683.95497,209.94285714285715,3.244945118428654,100.22091777777777
192.168.1.106,60894,157.240.13.35,443,7,408,4,228,3,180,1804.04974,10.18103,179.1568,141.43958,58.285714285714285,0.7894736842105263,601.3499133333333
192.168.1.106,60909,157.240.16.20,443,31,7463,15,1549,16,5914,1805.21816,65.93544,187.94142,717.55038,240.74193548387098,3.817947062621046,112.826135
192.168.1.106,61002,157.240.16.16,443,254,64092,133,32986,121,31106,1814.04589,381.91926,690.95232,651.57227,252.33070866141733,0.9430061238101013,14.992114793388431
192.168.1.106,61049,157.240.16.36,443,50,12395,22,4908,28,7487,1817.74722,80.37799,488.49195,745.17914,247.9,1.5254686226568868,64.91954357142858
192.168.1.106,61050,157.240.16.36,443,15,4997,8,776,7,4221,1817.74737,38.3617,161.82809,880.25308,333.1333333333333,5.439432989690721,259.6781957142857
192.168.1.106,61488,172.217.26.195,443,38,5796,19,4021,19,1775,1856.10951,240.29056,133.87126,59.09512,152.52631578947367,0.44143247948271574,97.68997421052632
192.168.1.106,62478,172.217.26.174,443,33,7070,16,1270,17,5800,1942.82798,241.26065,42.11213,192.32311,214.24242424242425,4.566929133858268,114.28399882352942
192.168.1.106,63030,104.108.234.194,443,19,6976,9,1147,10,5829,1989.58603,60.58086,151.46698,769.74806,367.1578947368421,5.081952920662598,198.95860299999998
192.168.1.106,63031,104.122.96.98,443,22,8606,12,1164,10,7442,1989.58604,60.58097,153.71163,982.75082,391.1818181818182,6.393470790378007,198.95860399999998
