Source IP,Destination IP,Protocol,Query,Reply
113.193.12.14,192.168.0.4,DNS,0x6504,107.21.250.154,184.73.198.9,54.225.186.185,184.73.198.136,107.21.248.242,184.73.199.125,54.225.255.135,184.73.198.200,107.21.249.217,107.21.249.50,184.73.199.81,54.225.147.109,184.73.198.237,184.73.198.130,107.21.250.221,107.21.249.145,107.21.249.135,107.21.249.100,184.73.196.217,54.225.202.195
113.193.12.14,192.168.0.4,DNS,0x6098,152.163.13.4,149.174.66.131
113.193.12.14,192.168.0.4,DNS,0x9a24,54.86.132.40,34.200.58.169,54.86.240.237,52.87.129.147,34.199.126.166,54.210.212.177,54.210.204.131,54.165.64.102
113.193.12.14,192.168.0.4,DNS,0xeae9,52.222.129.146
113.193.12.14,192.168.0.4,DNS,0xa18e,63.251.252.12
113.193.12.14,192.168.0.4,DNS,0x481d,184.25.109.26,184.25.109.35
113.193.12.14,192.168.0.4,DNS,0x2e12,103.231.98.43
113.193.12.14,192.168.0.4,DNS,0x7530,23.211.201.134
113.193.12.14,192.168.0.4,DNS,0x624d,66.117.25.36
113.193.12.14,192.168.0.4,DNS,0xd075,52.222.134.78
113.193.12.14,192.168.0.4,DNS,0x5f30,52.216.64.176
113.193.12.14,192.168.0.4,DNS,0x296e,106.10.165.60
113.193.1.14,192.168.0.4,DNS,0x7e36,52.222.186.7
113.193.12.14,192.168.0.4,DNS,0x35f5,46.137.214.173,122.248.240.117,46.137.212.246,54.251.39.211,175.41.145.217,46.137.222.222,46.137.211.3,54.254.110.106
113.193.12.14,192.168.0.4,DNS,0x76a5,204.2.197.204
113.193.12.14,192.168.0.4,DNS,0xc7bf,205.180.87.204
113.193.12.14,192.168.0.4,DNS,0x4983,104.193.80.60
113.193.12.14,192.168.0.4,DNS,0xc8b4,216.52.31.73
113.193.12.14,192.168.0.4,DNS,0xdbba,52.212.92.97,52.214.145.212,54.229.167.195
113.193.12.14,192.168.0.4,DNS,0x94ff,204.11.109.66,204.11.109.68,204.11.109.67,204.11.109.65
113.193.12.14,192.168.0.4,DNS,0x4d04,52.45.94.235,54.210.254.17,50.16.136.203,54.152.103.37,52.86.69.211,52.200.51.46,54.172.137.57,52.73.66.244
113.193.12.14,192.168.0.4,DNS,0x19a4,52.49.64.193,54.76.32.145,52.212.225.60,34.249.92.219
113.193.12.14,192.168.0.4,DNS,0x82fd,103.15.158.193
113.193.12.14,192.168.0.4,DNS,0xf427,104.244.42.8,104.244.42.136,104.244.42.72,104.244.42.200
113.193.12.14,192.168.0.4,DNS,0xf6d0,103.15.158.191
113.193.12.14,192.168.0.4,DNS,0xbdf0,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xa17d,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0xefae,52.222.136.59,52.222.136.49,52.222.136.23,52.222.136.233,52.222.136.5,52.222.136.254,52.222.136.238,52.222.136.30
113.193.12.14,192.168.0.4,DNS,0xfc14,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x2139,17.248.154.238,17.248.154.105,17.248.154.211,17.248.154.79,17.248.154.83,17.248.154.206,17.248.154.208,17.248.154.76
113.193.12.14,192.168.0.4,DNS,0xd7b3,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xafd2,172.217.26.195
113.193.12.14,192.168.0.4,DNS,0x2cbd,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x6ba8,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x3c3a,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x214d,192.229.237.25
113.193.12.14,192.168.0.4,DNS,0x9b51,216.58.197.34
113.193.12.14,192.168.0.4,DNS,0x9348,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0xe133,52.222.136.233,52.222.136.30,52.222.136.254,52.222.136.49,52.222.136.5,52.222.136.23,52.222.136.59,52.222.136.238
113.193.12.14,192.168.0.4,DNS,0xd2a5,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x46c9,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x7d7c,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x1bae,199.96.57.6
113.193.12.14,192.168.0.4,DNS,0x3fb0,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0xecbf,152.163.66.139
113.193.1.14,192.168.0.4,DNS,0x330a,152.163.66.139
113.193.12.14,192.168.0.4,DNS,0x8b89,52.222.136.59,52.222.136.254,52.222.136.23,52.222.136.30,52.222.136.49,52.222.136.238,52.222.136.233,52.222.136.5
113.193.12.14,192.168.0.4,DNS,0xd342,52.94.220.16
113.193.12.14,192.168.0.4,DNS,0xf466,192.229.237.25
113.193.12.14,192.168.0.4,DNS,0xf709,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x93c9,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0xde0a,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xf418,52.94.220.16
113.193.12.14,192.168.0.4,DNS,0x262e,52.222.136.30,52.222.136.238,52.222.136.233,52.222.136.49,52.222.136.59,52.222.136.5,52.222.136.23,52.222.136.254
192.168.0.4,113.193.12.14,DNS,R b._d,0.0.168.192
192.168.0.4,113.193.12.14,DNS,R db._,0.0.168.192
192.168.0.4,113.193.12.14,DNS,R lb._,0.0.168.192
113.193.12.14,192.168.0.4,DNS,0xfefa,0.0.168.192
113.193.12.14,192.168.0.4,DNS,0x6f7b,0.0.168.192
113.193.12.14,192.168.0.4,DNS,0x0d48,0.0.168.192
113.193.12.14,192.168.0.4,DNS,0x7a36,192.229.237.25
113.193.12.14,192.168.0.4,DNS,0xc1f9,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0xc834,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x85dc,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x9bec,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0xefce,52.222.136.233,52.222.136.30,52.222.136.254,52.222.136.49,52.222.136.5,52.222.136.238,52.222.136.59,52.222.136.23
113.193.12.14,192.168.0.4,DNS,0xdceb,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x5963,199.96.57.6
113.193.12.14,192.168.0.4,DNS,0xab49,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x61e3,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0x8905,52.222.136.5,52.222.136.30,52.222.136.23,52.222.136.49,52.222.136.254,52.222.136.238,52.222.136.233,52.222.136.59
113.193.12.14,192.168.0.4,DNS,0x6825,172.217.26.193
113.193.12.14,192.168.0.4,DNS,0xe140,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x4cd4,172.217.26.195
113.193.12.14,192.168.0.4,DNS,0xc364,199.96.57.6
113.193.12.14,192.168.0.4,DNS,0xd841,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x2910,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0xb1a1,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0xa731,184.25.109.33,184.25.109.41
113.193.12.14,192.168.0.4,DNS,0x15f4,184.25.109.35,184.25.109.41
113.193.12.14,192.168.0.4,DNS,0x9684,152.163.66.139
113.193.12.14,192.168.0.4,DNS,0x7fa8,192.229.237.25
113.193.12.14,192.168.0.4,DNS,0x45d0,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0xec56,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0xcb58,31.13.78.17
113.193.12.14,192.168.0.4,DNS,0x331c,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0x1791,52.222.136.23,52.222.136.30,52.222.136.254,52.222.136.233,52.222.136.59,52.222.136.5,52.222.136.49,52.222.136.238
113.193.12.14,192.168.0.4,DNS,0x6a7b,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x98b2,152.163.66.139
113.193.12.14,192.168.0.4,DNS,0x8a6e,192.229.237.25
113.193.12.14,192.168.0.4,DNS,0x23db,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x788b,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x9a8a,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0xae32,52.222.136.23,52.222.136.5,52.222.136.254,52.222.136.30,52.222.136.238,52.222.136.49,52.222.136.233,52.222.136.59
113.193.12.14,192.168.0.4,DNS,0xaaff,172.217.26.197
113.193.12.14,192.168.0.4,DNS,0x9af2,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xe7cb,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x2102,192.229.237.25
113.193.12.14,192.168.0.4,DNS,0xd144,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0xed95,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x4d0f,157.240.7.36
113.193.12.14,192.168.0.4,DNS,0x755f,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0xab7c,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0x7638,52.222.136.5,52.222.136.238,52.222.136.30,52.222.136.233,52.222.136.254,52.222.136.59,52.222.136.49,52.222.136.23
113.193.12.14,192.168.0.4,DNS,0xec42,157.240.7.20
113.193.12.14,192.168.0.4,DNS,0x44cc,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x6447,157.240.7.21
113.193.12.14,192.168.0.4,DNS,0xde8c,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x999f,157.240.7.20
113.193.12.14,192.168.0.4,DNS,0xd51c,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x730d,192.229.237.25
113.193.12.14,192.168.0.4,DNS,0x89b6,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x1646,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0xac69,172.217.26.195
113.193.12.14,192.168.0.4,DNS,0x8198,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x72e7,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0x9a03,52.222.136.59,52.222.136.23,52.222.136.49,52.222.136.233,52.222.136.254,52.222.136.5,52.222.136.238,52.222.136.30
113.193.12.14,192.168.0.4,DNS,0xa89a,199.96.57.6
113.193.12.14,192.168.0.4,DNS,0x9954,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0xe621,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0xfd1e,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0xfd23,157.240.7.36
113.193.12.14,192.168.0.4,DNS,0x830e,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x8dac,157.240.7.21
113.193.12.14,192.168.0.4,DNS,0xab70,152.163.66.139
113.193.12.14,192.168.0.4,DNS,0x293b,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x6916,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0x303e,52.222.136.59,52.222.136.254,52.222.136.233,52.222.136.23,52.222.136.238,52.222.136.30,52.222.136.5,52.222.136.49
113.193.12.14,192.168.0.4,DNS,0x6084,157.240.7.20
113.193.12.14,192.168.0.4,DNS,0xf8c5,52.222.136.190,52.222.136.131,52.222.136.113,52.222.136.57,52.222.136.135,52.222.136.184,52.222.136.249,52.222.136.166
113.193.12.14,192.168.0.4,DNS,0x185b,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x1ebb,157.240.7.20
113.193.12.14,192.168.0.4,DNS,0x5392,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x9615,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0xac27,192.229.237.25
113.193.12.14,192.168.0.4,DNS,0x5796,152.163.66.139
113.193.12.14,192.168.0.4,DNS,0xb2ea,13.107.3.128
113.193.12.14,192.168.0.4,DNS,0x40eb,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0x08ac,52.222.136.30,52.222.136.233,52.222.136.59,52.222.136.254,52.222.136.5,52.222.136.238,52.222.136.49,52.222.136.23
113.193.12.14,192.168.0.4,DNS,0x6b7c,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x6b40,199.96.57.6
113.193.12.14,192.168.0.4,DNS,0x8af5,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x9e99,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x34c7,157.240.7.20
113.193.12.14,192.168.0.4,DNS,0x94ad,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x380d,157.240.7.21
113.193.12.14,192.168.0.4,DNS,0xec4b,157.240.7.36
113.193.12.14,192.168.0.4,DNS,0x16eb,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x58ff,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0x93f8,52.222.136.233,52.222.136.59,52.222.136.5,52.222.136.23,52.222.136.49,52.222.136.254,52.222.136.238,52.222.136.30
113.193.12.14,192.168.0.4,DNS,0xfee2,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x7404,117.18.237.66
113.193.12.14,192.168.0.4,DNS,0xa0ec,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x04d0,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x6b0d,82.199.68.72
113.193.12.14,192.168.0.4,DNS,0x1225,52.94.220.16
113.193.12.14,192.168.0.4,DNS,0x5364,52.222.136.59,52.222.136.30,52.222.136.5,52.222.136.23,52.222.136.238,52.222.136.233,52.222.136.49,52.222.136.254
113.193.12.14,192.168.0.4,DNS,0xe412,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x77f8,40.113.10.78
113.193.12.14,192.168.0.4,DNS,0xbb1c,172.217.26.195
113.193.12.14,192.168.0.4,DNS,0x45d1,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x7727,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x2f19,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0xca8f,199.96.57.6
113.193.12.14,192.168.0.4,DNS,0x5ec1,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x5892,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0xa5d6,52.222.136.238,52.222.136.23,52.222.136.49,52.222.136.233,52.222.136.5,52.222.136.254,52.222.136.30,52.222.136.59
113.193.12.14,192.168.0.4,DNS,0xc87d,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0xa190,117.18.237.66
113.193.12.14,192.168.0.4,DNS,0xba8e,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x1f1b,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0xb0bd,152.163.66.139
113.193.12.14,192.168.0.4,DNS,0x3cc8,52.222.136.238,52.222.136.5,52.222.136.233,52.222.136.23,52.222.136.30,52.222.136.254,52.222.136.59,52.222.136.49
113.193.12.14,192.168.0.4,DNS,0x627f,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0xe232,157.240.7.21
113.193.12.14,192.168.0.4,DNS,0x1393,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x8dac,199.96.57.6
113.193.12.14,192.168.0.4,DNS,0x4e8f,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x067e,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x6c87,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x892c,152.163.66.139
